Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.03     0.00        2     0.00     0.00  handle_unmerged_index_entries
  0.00      0.03     0.00        2     0.00     0.00  has_old_commits_to_upload
  0.00      0.03     0.00        2     0.00     0.00  repo_block_store_exists
  0.00      0.03     0.00        2     0.00     0.00  seaf_branch_manager_update_branch
  0.00      0.03     0.00        2     0.00     0.00  seaf_branch_set_commit
  0.00      0.03     0.00        2     0.00     0.00  seaf_dir_from_data
  0.00      0.03     0.00        2     0.00     0.00  seaf_dir_from_json
  0.00      0.03     0.00        2     0.00     0.00  seaf_dir_from_json_object
  0.00      0.03     0.00        2     0.00     0.00  seaf_obj_store_init
  0.00      0.03     0.00        2     0.00     0.00  seaf_obj_store_new
  0.00      0.03     0.00        2     0.00     0.00  seaf_repo_manager_get_repo_property
  0.00      0.03     0.00        2     0.00     0.00  seaf_repo_manager_load_folder_perms
  0.00      0.03     0.00        2     0.00     0.00  sync_repo_v2
  0.00      0.03     0.00        2     0.00     0.00  update_sync_status_v2
  0.00      0.03     0.00        1     0.00     0.00  add_event_to_queue
  0.00      0.03     0.00        1     0.00     0.00  block_list_new
  0.00      0.03     0.00        1     0.00     0.00  block_tx_client_once_mode_done_cb
  0.00      0.03     0.00        1     0.00     0.00  block_tx_client_start
  0.00      0.03     0.00        1     0.00     0.00  cancel_task
  0.00      0.03     0.00        1     0.00     0.00  check_fast_forward
  0.00      0.03     0.00        1     0.00     0.00  check_full_path_ignore
  0.00      0.03     0.00        1     0.00     0.00  check_head_commit_done
  0.00      0.03     0.00        1     0.00     0.00  check_worktree_common
  0.00      0.03     0.00        1     0.00     0.00  client_thread_loop
  0.00      0.03     0.00        1     0.00     0.00  commit_repo
  0.00      0.03     0.00        1     0.00     0.00  commit_to_json_object
  0.00      0.03     0.00        1     0.00     0.00  commit_trees_cb
  0.00      0.03     0.00        1     0.00     0.00  connection_pool_get_connection
  0.00      0.03     0.00        1     0.00     0.00  connection_pool_return_connection
  0.00      0.03     0.00        1     0.00     0.00  diff_resolve_empty_dirs
  0.00      0.03     0.00        1     0.00     0.00  diff_resolve_renames
  0.00      0.03     0.00        1     0.00     0.00  diff_results_to_description
  0.00      0.03     0.00        1     0.00     0.00  find_connection_pool
  0.00      0.03     0.00        1     0.00     0.00  find_meaningful_commit
  0.00      0.03     0.00        1     0.00     0.00  generate_session_key
  0.00      0.03     0.00        1     0.00     0.00  get_chunk_server_address
